year,ppi,isic4,output_IV,Z_input,apparent_consumption,change_IP,ls_pre_filled,HHI_dom,d_inv_mu_j,n_firms,dom_j,within_inv_mu,between_inv_mu,entry_inv_mu,exit_inv_mu
2016,184.77834,1420,-.0020000117,-.0007207492936843,40463.898,.0085645579,.60917085,.1572136,-.0205096605288851,24,163847856,-.0121908781275727,-.1476006565722004,.1401953608667176,.0009134866958296
2017,200.67751,1420,-.00088927097,-.0009228318314456,38506.922,.024564095,.60917085,.16515917,-.0175892703188023,21,156796112,-.0187219519561982,.0308703513065581,.000396269791622,.0301339394607843
2018,230.98334,1420,.0034956299,-.0004333763602915,36520.074,-.0074276775,.60917085,.24046361,.0039717971018166,19,96676432,-.0024022405545493,.2009598765714263,.0068836034589811,.2014694423740414
2019,251.87917,1420,-.0056314846,.0001229966441709,20342.375,.042510629,.60917085,.23236503,-.0437720939595352,12,76176744,.0113537560567845,-.0199877301275441,0,.0351381198887757
2020,261.15582,1420,,,,,.60917085,.26958707,-.024876033822998,11,56571368,-.0070585703468863,.0406832546895253,.0127222580849651,.071222976250602
2021,289.2175,1420,,,,,.60917085,.35196766,.1157193284141924,10,57839888,.0057575825468202,.106062811363438,.0456294459046662,.041730511400732
2022,447.48416,1420,,,,,.60917085,.38571048,.0312905009064894,8,50731624,-.0049628725501019,.0415398577030749,0,.0052864842464836
2009,125.715,1430,,,,,.61435676,.087736785,,43,152553440,0,0,0,0
2010,141.88251,1430,,,,,.61435676,.092481643,.0261994962897643,63,172826560,.0012601271563276,-.0482312706969073,.2324890925875108,.1593184527571667
2011,165.77916,1430,,,861829.63,,.61435676,.058604918,-.0890547023015175,83,252762432,-.0164629024517748,-.3267580045605274,.3064006127322261,.0522344080214412
2012,160.4725,1430,,,697736.81,-.049123943,.61435676,.056303624,.080402817048583,96,310873536,.0289861317401893,-.025588896532036,.1075078554280512,.0305022735876219
2013,168.43333,1430,,,676755.38,.047980726,.61435676,.038128588,.07670104188092,92,199907584,-.0060908714482897,.2249432163253708,.1594339096698452,.3015852126660065
2014,181.43083,1430,,,,,.61435676,.034317579,-.0010195420388903,88,256163872,.0053810211821943,.0107176688819146,.0824321233382515,.0995503554412507
2015,187.53667,1430,,,,,.61435676,.016148442,-.3021319570230149,84,237882816,-.0128991281542507,-.1685407786381364,.0791054838413229,.1997975340719508
2016,198.39999,1430,,,,,.61435676,.023823956,.1923005817504324,85,235385536,.0073952686753161,.1556535793847678,.0943826514702698,.0651309177799214
2017,207.13167,1430,,,,,.61435676,.017133132,-.1108844788563298,87,243720256,-.0059359842648356,-.0706115362920643,.0378983745558608,.0722353328552905
2018,248.95833,1430,,,,,.61435676,.014368944,-.1508135763042739,71,153690992,-.0072034355229137,.0439242455051238,.0319033544547453,.2194377407412297
2019,275.76083,1430,,,,,.61435676,.02013278,.0982813076186415,72,156603136,.0135836516367145,.0528634916801414,.1161862446295421,.0843520803277564
2020,310.45416,1430,,,,,.61435676,.018813966,-.0958703114806577,70,116712528,-.0148813492719457,-.0779070930150173,.0679707212004984,.0710525903941931
2021,289.2175,1430,,,,,.61435676,.02387869,.0329765094693775,56,128973776,.0033482421947646,.0084597409166174,.0771975830769019,.0560290567189062
2022,447.48416,1430,,,,,.61435676,.034086231,.0693525684713664,36,98375416,.0120025943320624,.144397238558698,0,.0870472644193941
2023,693.92999,1430,,,,,.61435676,1,.3771444886235328,1,68572.336,-.0068230303302954,1.014799423962354,0,.6308319050085257
2009,137.98584,1511,,,,,.54833156,.13340743,,17,55873144,0,0,0,0
2010,139.155,1511,,,,,.54833156,.10643241,.0177664727249295,19,79744960,.0186625006283579,-.0995276594782131,.1257072674541435,.0270756358793587
2011,160.6575,1511,-.001528079,-.0003567666621755,1412065.5,,.54833156,.10709955,-.0316244806719582,20,85106360,-.0434188615238806,.0209160727053416,.0077380206585719,.016859712511991
