isic4,year,markup_dispersion_wedge,counterfactual_label,scenario
1629,2012,0.008281335087162582,output-competition counterfactuals,observed
1629,2013,0.0021687988132506387,output-competition counterfactuals,observed
1629,2014,0.004611125050381315,output-competition counterfactuals,observed
1629,2015,0.0252600713467956,output-competition counterfactuals,observed
1629,2016,0.043565757929581186,output-competition counterfactuals,observed
1629,2017,0.07025927001137718,output-competition counterfactuals,observed
1629,2018,0.04866651822997777,output-competition counterfactuals,observed
1629,2019,0.0511263907834851,output-competition counterfactuals,observed
1701,2011,0.012403891908607738,output-competition counterfactuals,observed
1701,2012,0.04301339013175831,output-competition counterfactuals,observed
1701,2013,0.011851183734485616,output-competition counterfactuals,observed
1701,2014,0.01465985285237983,output-competition counterfactuals,observed
1701,2015,0.02180245830419573,output-competition counterfactuals,observed
1701,2016,0.02674351986965995,output-competition counterfactuals,observed
1701,2017,0.02471052280424454,output-competition counterfactuals,observed
1701,2018,0.036758467527276635,output-competition counterfactuals,observed
1701,2019,0.14605532990880596,output-competition counterfactuals,observed
1702,2011,0.018200305371202565,output-competition counterfactuals,observed
1702,2012,0.019004226467089047,output-competition counterfactuals,observed
1702,2013,0.010764345565969812,output-competition counterfactuals,observed
1702,2014,0.009650856877706893,output-competition counterfactuals,observed
1702,2015,0.0039767742571772775,output-competition counterfactuals,observed
1702,2016,0.013629749051918091,output-competition counterfactuals,observed
1702,2017,0.005885365153535102,output-competition counterfactuals,observed
1702,2018,0.01609855463455805,output-competition counterfactuals,observed
1702,2019,0.02245934415119547,output-competition counterfactuals,observed
1709,2011,0.026835815490848226,output-competition counterfactuals,observed
1709,2012,0.020622433144279622,output-competition counterfactuals,observed
1709,2013,0.017991011635337128,output-competition counterfactuals,observed
1709,2014,0.02795593875463338,output-competition counterfactuals,observed
1709,2015,0.0604490283392734,output-competition counterfactuals,observed
1709,2016,0.028806752239515333,output-competition counterfactuals,observed
1709,2017,0.01996792182858625,output-competition counterfactuals,observed
1709,2018,0.024698810828206588,output-competition counterfactuals,observed
1709,2019,0.023056816346679658,output-competition counterfactuals,observed
1811,2011,0.24919681700355076,output-competition counterfactuals,observed
1811,2012,0.2693920305679458,output-competition counterfactuals,observed
1811,2013,0.09955834768017238,output-competition counterfactuals,observed
1811,2014,0.20968750612977785,output-competition counterfactuals,observed
1811,2015,0.5202743586961556,output-competition counterfactuals,observed
1811,2016,0.22219486657881649,output-competition counterfactuals,observed
1811,2017,0.28593427181306225,output-competition counterfactuals,observed
1811,2018,0.21052036678136798,output-competition counterfactuals,observed
1811,2019,0.15407395142123176,output-competition counterfactuals,observed
1812,2016,0.02078185632087893,output-competition counterfactuals,observed
1812,2017,0.023043898161044025,output-competition counterfactuals,observed
1812,2018,0.010926220887110094,output-competition counterfactuals,observed
1920,2011,1.2446377891500022,output-competition counterfactuals,observed
1920,2012,0.5587404482802787,output-competition counterfactuals,observed
1920,2013,1.2764057460361888,output-competition counterfactuals,observed
1920,2014,1.4340587501492663,output-competition counterfactuals,observed
1920,2015,0.5639863726620632,output-competition counterfactuals,observed
1920,2016,0.46981611394516853,output-competition counterfactuals,observed
1920,2017,0.24659183051108588,output-competition counterfactuals,observed
1920,2018,0.731122931892947,output-competition counterfactuals,observed
1920,2019,1.414795049910884,output-competition counterfactuals,observed
2011,2011,0.05674160304241511,output-competition counterfactuals,observed
2011,2012,0.07924821900258905,output-competition counterfactuals,observed
2011,2013,0.07179941771405085,output-competition counterfactuals,observed
2011,2014,0.068119671291634,output-competition counterfactuals,observed
2011,2015,0.06674971019003817,output-competition counterfactuals,observed
2011,2016,0.06995326522581634,output-competition counterfactuals,observed
2011,2017,0.06065811538045061,output-competition counterfactuals,observed
2011,2018,0.08316190671937909,output-competition counterfactuals,observed
2011,2019,0.09333155145504601,output-competition counterfactuals,observed
2012,2011,0.03371874868112483,output-competition counterfactuals,observed
2012,2012,0.02339334560152434,output-competition counterfactuals,observed
2012,2013,0.018512989920393935,output-competition counterfactuals,observed
2012,2014,0.05451902562774804,output-competition counterfactuals,observed
2012,2015,0.03539987659367958,output-competition counterfactuals,observed
2012,2016,0.005669634493717952,output-competition counterfactuals,observed
2012,2017,0.009770900568921333,output-competition counterfactuals,observed
2012,2018,0.02412414804987221,output-competition counterfactuals,observed
2012,2019,0.014042022909067697,output-competition counterfactuals,observed
2013,2011,0.005930505738468872,output-competition counterfactuals,observed
2013,2012,0.010586479828213724,output-competition counterfactuals,observed
2013,2013,0.023606104388755073,output-competition counterfactuals,observed
2013,2014,0.0180356163754531,output-competition counterfactuals,observed
2013,2015,0.01098826175124918,output-competition counterfactuals,observed
2013,2016,0.019736718157992578,output-competition counterfactuals,observed
2013,2017,0.02710850788820102,output-competition counterfactuals,observed
2013,2018,0.027014044632531993,output-competition counterfactuals,observed
2013,2019,0.021428451061758752,output-competition counterfactuals,observed
2021,2011,0.09629335631971589,output-competition counterfactuals,observed
2021,2012,0.07187360322940065,output-competition counterfactuals,observed
2021,2013,0.06640425481580318,output-competition counterfactuals,observed
2021,2014,0.058933641950008754,output-competition counterfactuals,observed
2021,2015,0.08793689401000099,output-competition counterfactuals,observed
2021,2016,0.1817858988705898,output-competition counterfactuals,observed
2021,2017,0.112861961307403,output-competition counterfactuals,observed
2021,2018,0.08542671611403502,output-competition counterfactuals,observed
2021,2019,0.08232513314318006,output-competition counterfactuals,observed
2022,2011,0.08477497193046128,output-competition counterfactuals,observed
2022,2012,0.07994351043891547,output-competition counterfactuals,observed
2022,2013,0.08439859809853055,output-competition counterfactuals,observed
2022,2014,0.0597396791614453,output-competition counterfactuals,observed
2022,2015,0.07963815122532185,output-competition counterfactuals,observed
2022,2016,0.09041107157663562,output-competition counterfactuals,observed
2022,2017,0.10591677865320362,output-competition counterfactuals,observed
2022,2018,0.07990128815865381,output-competition counterfactuals,observed
2022,2019,0.04850640502631962,output-competition counterfactuals,observed
2023,2011,0.14332754484943513,output-competition counterfactuals,observed
2023,2012,0.12037930854719522,output-competition counterfactuals,observed
2023,2013,0.7371286631732292,output-competition counterfactuals,observed
2023,2014,0.3372695046094084,output-competition counterfactuals,observed
2023,2015,0.3103650865298277,output-competition counterfactuals,observed
2023,2016,0.16452497982881223,output-competition counterfactuals,observed
2023,2017,0.1550347636005615,output-competition counterfactuals,observed
2023,2018,0.11110399132924038,output-competition counterfactuals,observed
2023,2019,0.11284645013885826,output-competition counterfactuals,observed
2029,2011,0.07511939732478554,output-competition counterfactuals,observed
2029,2012,0.10975021101992562,output-competition counterfactuals,observed
2029,2013,0.1290614810281769,output-competition counterfactuals,observed
2029,2014,0.12179617177813544,output-competition counterfactuals,observed
2029,2015,0.029123688225951457,output-competition counterfactuals,observed
2029,2016,0.06257608694215155,output-competition counterfactuals,observed
2029,2017,0.11063056905493482,output-competition counterfactuals,observed
2029,2018,0.10192354221211265,output-competition counterfactuals,observed
2029,2019,0.12301121564428094,output-competition counterfactuals,observed
2030,2011,0.0015035852026591757,output-competition counterfactuals,observed
2030,2012,4.6936377976384315e-05,output-competition counterfactuals,observed
2030,2013,0.000862737685544636,output-competition counterfactuals,observed
2030,2019,0.0003349538564903068,output-competition counterfactuals,observed
2100,2011,0.22410729286329806,output-competition counterfactuals,observed
2100,2012,0.2247956460985008,output-competition counterfactuals,observed
2100,2013,0.18748280175125412,output-competition counterfactuals,observed
2100,2014,0.12276467787504625,output-competition counterfactuals,observed
2100,2015,0.17799847245600947,output-competition counterfactuals,observed
2100,2016,0.055264662198585196,output-competition counterfactuals,observed
2100,2017,0.12334329582981977,output-competition counterfactuals,observed
2100,2018,0.11004358466793682,output-competition counterfactuals,observed
2100,2019,0.14413362790995368,output-competition counterfactuals,observed
2211,2011,0.0057248253653798984,output-competition counterfactuals,observed
